pickup_datetime,dropoff_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_distance_miles,fare_amount_usd,passenger_count,payment_type
2023-02-20 17:27:00,2023-02-20 17:49:00,40.808941,-73.914482,40.807336,-73.90527,1.03,5.84,5.0,credit_card
2023-02-28 19:41:00,2023-02-28 20:07:00,40.685842,-73.855449,40.663358,-73.826745,4.02,20.748,4.0,unknown
2023-02-14 08:37:00,2023-02-14 09:07:00,40.668055,-74.04505,40.642572,-74.055617,3.04,19.73385,5.0,credit_card
2023-01-16 23:54:00,2023-01-17 00:40:00,40.765394,-73.753324,40.775285,-73.775441,2.67,13.7544,4.0,credit_card
2023-02-11 01:16:00,2023-02-11 01:35:00,40.815841,-73.727328,40.836115,-73.746976,3.11,16.165999999999997,3.0,credit_card
2023-01-09 06:27:00,2023-01-09 06:55:00,40.726932,-73.857315,40.752378,-73.885385,4.18,13.406400000000001,4.0,credit_card
2023-01-11 20:24:00,2023-01-11 20:41:00,40.894229,-73.956193,40.88752,-73.93676,2.27,10.6,2.0,credit_card
2023-01-02 06:40:00,2023-01-02 07:02:00,40.805449,-73.703416,40.831748,-73.728847,4.03,13.7544,4.0,cash
2023-01-17 06:44:00,2023-01-17 07:24:00,40.74428,-73.915882,40.763468,-73.892262,3.36,13.06,4.0,credit_card
2023-02-02 03:25:00,2023-02-02 04:07:00,40.717635,-73.807221,40.713078,-73.834314,3.03,10.19,4.0,credit_card
2023-01-06 09:08:00,2023-01-06 09:57:00,40.702953,-73.808517,40.697333,-73.789718,2.16,17.15193,4.0,cash
2023-02-07 13:55:00,2023-02-07 14:36:00,40.818715,-73.897992,40.808724,-73.916246,2.3,8.911000000000001,4.0,credit_card
2023-01-20 17:12:00,2023-01-20 17:19:00,40.731572,-73.980295,40.705719,-74.00891,4.25,13.7544,1.0,credit_card
2023-02-24 00:50:00,2023-02-24 01:39:00,40.617903,-73.711697,40.588487,-74.02398,3.51,14.736400000000001,2.0,cash
2023-01-14 10:05:00,2023-01-14 10:39:00,40.600628,-74.043085,40.582847,-74.02398,3.7,13.7544,5.0,credit_card
2023-01-27 18:36:00,2023-01-27 19:32:00,40.600628,-74.043085,40.582847,-74.02398,2.1,11.491200000000001,1.0,credit_card
2023-02-21 04:26:00,2023-02-21 05:04:00,40.600628,-74.043085,40.582847,-74.02398,3.3,18.156779999999998,3.0,credit_card
2023-01-22 10:35:00,2023-01-22 10:40:00,40.652636,-73.947109,40.632078,-73.969827,3.38,14.33,3.0,cash
2023-02-27 16:06:00,2023-02-27 16:25:00,40.759465,-73.760015,40.771011,-73.782491,2.79,12.821200000000001,3.0,credit_card
2023-01-23 20:25:00,2023-01-23 20:33:00,40.759548,-73.921457,40.773368,-73.908066,2.12,8.767399999999999,1.0,cash
2023-02-15 03:46:00,2023-02-15 04:06:00,40.79032,-74.020828,40.787903,-73.992499,3.14,20.12463,1.0,cash
2023-02-28 22:14:00,2023-02-28 22:19:00,40.85483,-73.981292,40.831889,-73.996617,3.04,12.8738,3.0,credit_card
2023-02-28 11:20:00,2023-02-28 11:59:00,40.817337,-73.748869,40.830507,-73.754935,1.6,12.16,5.0,credit_card
2023-01-25 12:20:00,2023-01-25 13:05:00,40.783307,-73.70804,40.808126,-73.715577,2.86,13.7544,2.0,credit_card
2023-01-10 17:26:00,2023-01-10 18:07:00,40.816733,-73.956206,40.808704,-73.970798,1.84,7.128800000000001,3.0,credit_card
2023-01-30 03:46:00,2023-01-30 03:52:00,40.696888,-73.813607,40.712412,-73.800845,2.22,16.077329999999996,5.0,credit_card
2023-02-18 15:03:00,2023-02-18 15:46:00,40.708537,-74.02158,40.723052,-74.035302,2.2,11.5758,3.0,unknown
2023-02-16 15:55:00,2023-02-16 16:19:00,40.668479,-73.796787,40.641721,-73.795922,2.95,13.7544,4.0,unknown
2023-02-26 05:43:00,2023-02-26 06:20:00,40.688114,-73.904247,40.661457,-73.926462,3.83,13.7544,4.0,cash
2023-01-13 16:24:00,2023-01-13 16:45:00,40.789293,-73.728644,40.79989,-73.707766,2.58,15.045,5.0,credit_card
2023-01-26 22:16:00,2023-01-26 22:39:00,40.627631,-73.940962,40.647486,-73.92972,2.52,14.5258,3.0,credit_card
2023-01-27 12:40:00,2023-01-27 13:40:00,40.73011,-73.720487,40.755344,-73.718161,2.79,15.55,5.0,credit_card
2023-02-17 08:34:00,2023-02-17 09:10:00,40.729259,-73.873863,40.707759,-73.867018,2.49,11.89,1.0,credit_card
2023-01-20 10:18:00,2023-01-20 10:22:00,40.748106,-73.927887,40.753109,-73.944425,0.3361481481481481,13.607099999999999,5.0,cash
2023-01-10 08:02:00,2023-01-10 08:40:00,40.727749,-73.823543,40.714672,-73.8029,2.7,10.945900000000002,3.0,cash
2023-01-19 11:35:00,2023-01-19 12:26:00,40.693678,-73.962589,40.67704,-73.985244,3.1,13.35,4.0,credit_card
2023-01-07 03:56:00,2023-01-07 04:19:00,40.727905,-73.969583,40.742209,-73.946714,2.97,15.295000000000002,2.0,credit_card
2023-02-22 04:48:00,2023-02-22 05:18:00,40.868017,-73.981279,40.862808,-73.97449,0.94,5.8653,5.0,cash
2023-02-04 20:00:00,2023-02-04 20:38:00,40.883248,-73.714035,40.87951,-74.02398,2.94,10.230599999999999,5.0,credit_card
